capture_id,timestamp,plant_id,camera_lux,image_label,image_confidence,image_risk,sensor_label,sensor_confidence,sensor_risk,tested_image_weight,tested_sensor_weight,tested_fusion_risk,tested_fusion_label,tested_fusion_confidence,fusion_follows
CAP_20260830_131504,2026-08-30 13:15:04,P11,326.9332275390625,healthy,0.9991626739501953,0.0008373260498046875,unhealthy,0.9933333333333333,0.9933333333333333,0.1,0.9,0.8940837326049805,unhealthy,0.8940837326049805,sensor
CAP_20260830_131504,2026-08-30 13:15:04,P12,326.9332275390625,healthy,0.9817463159561157,0.018253684043884277,unhealthy,0.9933333333333333,0.9933333333333333,0.1,0.9,0.8958253684043884,unhealthy,0.8958253684043884,sensor
CAP_20260830_133004,2026-08-30 13:30:04,P01,307.5849609375,healthy,0.9996922016143799,0.0003077983856201172,unhealthy,0.9933333333333333,0.9933333333333333,0.1,0.9,0.894030779838562,unhealthy,0.894030779838562,sensor
CAP_20260830_133004,2026-08-30 13:30:04,P02,307.5849609375,healthy,0.9999998807907104,1.1920928955078125e-07,unhealthy,0.9933333333333333,0.9933333333333333,0.1,0.9,0.8940000119209289,unhealthy,0.8940000119209289,sensor
CAP_20260830_133004,2026-08-30 13:30:04,P03,307.5849609375,healthy,0.9999186992645264,8.130073547363281e-05,unhealthy,0.9933333333333333,0.9933333333333333,0.1,0.9,0.8940081300735474,unhealthy,0.8940081300735474,sensor
CAP_20260830_133004,2026-08-30 13:30:04,P04,307.5849609375,healthy,0.9891381859779358,0.010861814022064209,unhealthy,0.9933333333333333,0.9933333333333333,0.1,0.9,0.8950861814022064,unhealthy,0.8950861814022064,sensor
CAP_20260830_133004,2026-08-30 13:30:04,P05,307.5849609375,healthy,0.9989346861839294,0.0010653138160705566,unhealthy,0.9933333333333333,0.9933333333333333,0.1,0.9,0.8941065313816071,unhealthy,0.8941065313816071,sensor
CAP_20260830_133004,2026-08-30 13:30:04,P06,307.5849609375,healthy,0.9999986886978149,1.3113021850585938e-06,unhealthy,0.9933333333333333,0.9933333333333333,0.1,0.9,0.8940001311302185,unhealthy,0.8940001311302185,sensor
CAP_20260830_133004,2026-08-30 13:30:04,P07,307.5849609375,healthy,0.9999923706054688,7.62939453125e-06,unhealthy,0.9933333333333333,0.9933333333333333,0.1,0.9,0.8940007629394532,unhealthy,0.8940007629394532,sensor
CAP_20260830_133004,2026-08-30 13:30:04,P08,307.5849609375,healthy,0.9958091974258423,0.004190802574157715,unhealthy,0.9933333333333333,0.9933333333333333,0.1,0.9,0.8944190802574158,unhealthy,0.8944190802574158,sensor
CAP_20260830_133004,2026-08-30 13:30:04,P09,307.5849609375,healthy,0.9810149669647217,0.01898503303527832,unhealthy,0.9933333333333333,0.9933333333333333,0.1,0.9,0.8958985033035278,unhealthy,0.8958985033035278,sensor
CAP_20260830_133004,2026-08-30 13:30:04,P10,307.5849609375,healthy,0.9992521405220032,0.0007478594779968262,unhealthy,0.9933333333333333,0.9933333333333333,0.1,0.9,0.8940747859477997,unhealthy,0.8940747859477997,sensor
CAP_20260830_133004,2026-08-30 13:30:04,P11,307.5849609375,healthy,0.9997501969337463,0.0002498030662536621,unhealthy,0.9933333333333333,0.9933333333333333,0.1,0.9,0.8940249803066254,unhealthy,0.8940249803066254,sensor
CAP_20260830_133004,2026-08-30 13:30:04,P12,307.5849609375,healthy,0.9828893542289734,0.01711064577102661,unhealthy,0.9933333333333333,0.9933333333333333,0.1,0.9,0.8957110645771027,unhealthy,0.8957110645771027,sensor
CAP_20260830_134503,2026-08-30 13:45:03,P01,267.63360595703125,healthy,0.9998838901519775,0.00011610984802246094,unhealthy,0.99,0.99,0.1,0.9,0.8910116109848023,unhealthy,0.8910116109848023,sensor
CAP_20260830_134503,2026-08-30 13:45:03,P02,267.63360595703125,healthy,0.9999998807907104,1.1920928955078125e-07,unhealthy,0.99,0.99,0.1,0.9,0.8910000119209289,unhealthy,0.8910000119209289,sensor
CAP_20260830_134503,2026-08-30 13:45:03,P03,267.63360595703125,healthy,0.9999269247055054,7.30752944946289e-05,unhealthy,0.99,0.99,0.1,0.9,0.8910073075294495,unhealthy,0.8910073075294495,sensor
CAP_20260830_134503,2026-08-30 13:45:03,P04,267.63360595703125,healthy,0.9892842173576355,0.010715782642364502,unhealthy,0.99,0.99,0.1,0.9,0.8920715782642364,unhealthy,0.8920715782642364,sensor
CAP_20260830_134503,2026-08-30 13:45:03,P05,267.63360595703125,healthy,0.9981545805931091,0.0018454194068908691,unhealthy,0.99,0.99,0.1,0.9,0.8911845419406891,unhealthy,0.8911845419406891,sensor
CAP_20260830_134503,2026-08-30 13:45:03,P06,267.63360595703125,healthy,0.999994158744812,5.841255187988281e-06,unhealthy,0.99,0.99,0.1,0.9,0.8910005841255189,unhealthy,0.8910005841255189,sensor
CAP_20260830_134503,2026-08-30 13:45:03,P07,267.63360595703125,healthy,0.9999804496765137,1.9550323486328125e-05,unhealthy,0.99,0.99,0.1,0.9,0.8910019550323487,unhealthy,0.8910019550323487,sensor
CAP_20260830_134503,2026-08-30 13:45:03,P08,267.63360595703125,healthy,0.9922669529914856,0.007733047008514404,unhealthy,0.99,0.99,0.1,0.9,0.8917733047008515,unhealthy,0.8917733047008515,sensor
CAP_20260830_134503,2026-08-30 13:45:03,P09,267.63360595703125,healthy,0.9787796139717102,0.021220386028289795,unhealthy,0.99,0.99,0.1,0.9,0.893122038602829,unhealthy,0.893122038602829,sensor
CAP_20260830_134503,2026-08-30 13:45:03,P10,267.63360595703125,healthy,0.9993314743041992,0.0006685256958007812,unhealthy,0.99,0.99,0.1,0.9,0.8910668525695801,unhealthy,0.8910668525695801,sensor
CAP_20260830_134503,2026-08-30 13:45:03,P11,267.63360595703125,healthy,0.9998382329940796,0.00016176700592041016,unhealthy,0.99,0.99,0.1,0.9,0.8910161767005921,unhealthy,0.8910161767005921,sensor
CAP_20260830_134503,2026-08-30 13:45:03,P12,267.63360595703125,healthy,0.9728745818138123,0.027125418186187744,unhealthy,0.99,0.99,0.1,0.9,0.8937125418186188,unhealthy,0.8937125418186188,sensor
CAP_20260830_140003,2026-08-30 14:00:03,P01,296.595458984375,healthy,0.9998660087585449,0.00013399124145507812,unhealthy,0.99,0.99,0.1,0.9,0.8910133991241456,unhealthy,0.8910133991241456,sensor
CAP_20260830_140003,2026-08-30 14:00:03,P02,296.595458984375,healthy,0.9999977350234985,2.2649765014648438e-06,unhealthy,0.99,0.99,0.1,0.9,0.8910002264976502,unhealthy,0.8910002264976502,sensor
CAP_20260830_140003,2026-08-30 14:00:03,P03,296.595458984375,healthy,0.9997593760490417,0.00024062395095825195,unhealthy,0.99,0.99,0.1,0.9,0.8910240623950958,unhealthy,0.8910240623950958,sensor
CAP_20260830_140003,2026-08-30 14:00:03,P04,296.595458984375,healthy,0.9706999063491821,0.02930009365081787,unhealthy,0.99,0.99,0.1,0.9,0.8939300093650818,unhealthy,0.8939300093650818,sensor
CAP_20260830_140003,2026-08-30 14:00:03,P05,296.595458984375,healthy,0.998688280582428,0.0013117194175720215,unhealthy,0.99,0.99,0.1,0.9,0.8911311719417572,unhealthy,0.8911311719417572,sensor
CAP_20260830_140003,2026-08-30 14:00:03,P06,296.595458984375,healthy,0.9999821186065674,1.7881393432617188e-05,unhealthy,0.99,0.99,0.1,0.9,0.8910017881393433,unhealthy,0.8910017881393433,sensor
CAP_20260830_140003,2026-08-30 14:00:03,P07,296.595458984375,healthy,0.9986613988876343,0.0013386011123657227,unhealthy,0.99,0.99,0.1,0.9,0.8911338601112366,unhealthy,0.8911338601112366,sensor
CAP_20260830_140003,2026-08-30 14:00:03,P08,296.595458984375,healthy,0.8797781467437744,0.12022185325622559,unhealthy,0.99,0.99,0.1,0.9,0.9030221853256226,unhealthy,0.9030221853256226,sensor
CAP_20260830_140003,2026-08-30 14:00:03,P09,296.595458984375,healthy,0.9789906740188599,0.021009325981140137,unhealthy,0.99,0.99,0.1,0.9,0.8931009325981141,unhealthy,0.8931009325981141,sensor
CAP_20260830_140003,2026-08-30 14:00:03,P10,296.595458984375,healthy,0.995964527130127,0.004035472869873047,unhealthy,0.99,0.99,0.1,0.9,0.8914035472869873,unhealthy,0.8914035472869873,sensor
CAP_20260830_140003,2026-08-30 14:00:03,P11,296.595458984375,healthy,0.9987295269966125,0.0012704730033874512,unhealthy,0.99,0.99,0.1,0.9,0.8911270473003388,unhealthy,0.8911270473003388,sensor
CAP_20260830_140003,2026-08-30 14:00:03,P12,296.595458984375,healthy,0.9939717650413513,0.006028234958648682,unhealthy,0.99,0.99,0.1,0.9,0.8916028234958648,unhealthy,0.8916028234958648,sensor
CAP_20260830_141504,2026-08-30 14:15:04,P01,390.412109375,healthy,0.9999130964279175,8.690357208251953e-05,unhealthy,0.99,0.99,0.1,0.9,0.8910086903572083,unhealthy,0.8910086903572083,sensor
CAP_20260830_141504,2026-08-30 14:15:04,P02,390.412109375,healthy,0.9999996423721313,3.5762786865234375e-07,unhealthy,0.99,0.99,0.1,0.9,0.8910000357627869,unhealthy,0.8910000357627869,sensor
CAP_20260830_141504,2026-08-30 14:15:04,P03,390.412109375,healthy,0.9997619986534119,0.00023800134658813477,unhealthy,0.99,0.99,0.1,0.9,0.8910238001346589,unhealthy,0.8910238001346589,sensor
CAP_20260830_141504,2026-08-30 14:15:04,P04,390.412109375,healthy,0.9944869875907898,0.005513012409210205,unhealthy,0.99,0.99,0.1,0.9,0.8915513012409211,unhealthy,0.8915513012409211,sensor
CAP_20260830_141504,2026-08-30 14:15:04,P05,390.412109375,healthy,0.9983780384063721,0.0016219615936279297,unhealthy,0.99,0.99,0.1,0.9,0.8911621961593628,unhealthy,0.8911621961593628,sensor
CAP_20260830_141504,2026-08-30 14:15:04,P06,390.412109375,healthy,0.9999985694885254,1.430511474609375e-06,unhealthy,0.99,0.99,0.1,0.9,0.8910001430511475,unhealthy,0.8910001430511475,sensor
CAP_20260830_141504,2026-08-30 14:15:04,P07,390.412109375,healthy,0.9996410608291626,0.00035893917083740234,unhealthy,0.99,0.99,0.1,0.9,0.8910358939170837,unhealthy,0.8910358939170837,sensor
CAP_20260830_141504,2026-08-30 14:15:04,P08,390.412109375,healthy,0.9670977592468262,0.03290224075317383,unhealthy,0.99,0.99,0.1,0.9,0.8942902240753174,unhealthy,0.8942902240753174,sensor
CAP_20260830_141504,2026-08-30 14:15:04,P09,390.412109375,healthy,0.9728323817253113,0.02716761827468872,unhealthy,0.99,0.99,0.1,0.9,0.8937167618274688,unhealthy,0.8937167618274688,sensor
CAP_20260830_141504,2026-08-30 14:15:04,P10,390.412109375,healthy,0.9961932897567749,0.0038067102432250977,unhealthy,0.99,0.99,0.1,0.9,0.8913806710243225,unhealthy,0.8913806710243225,sensor
CAP_20260830_141504,2026-08-30 14:15:04,P11,390.412109375,healthy,0.999632716178894,0.00036728382110595703,unhealthy,0.99,0.99,0.1,0.9,0.8910367283821106,unhealthy,0.8910367283821106,sensor
CAP_20260830_141504,2026-08-30 14:15:04,P12,390.412109375,healthy,0.9949662089347839,0.0050337910652160645,unhealthy,0.99,0.99,0.1,0.9,0.8915033791065217,unhealthy,0.8915033791065217,sensor
CAP_20260830_143004,2026-08-30 14:30:04,P01,300.9665832519531,healthy,0.9997372031211853,0.00026279687881469727,unhealthy,0.9933333333333333,0.9933333333333333,0.1,0.9,0.8940262796878815,unhealthy,0.8940262796878815,sensor
CAP_20260830_143004,2026-08-30 14:30:04,P02,300.9665832519531,healthy,0.999998927116394,1.0728836059570312e-06,unhealthy,0.9933333333333333,0.9933333333333333,0.1,0.9,0.8940001072883607,unhealthy,0.8940001072883607,sensor
CAP_20260830_143004,2026-08-30 14:30:04,P03,300.9665832519531,healthy,0.9997907280921936,0.00020927190780639648,unhealthy,0.9933333333333333,0.9933333333333333,0.1,0.9,0.8940209271907806,unhealthy,0.8940209271907806,sensor
CAP_20260830_143004,2026-08-30 14:30:04,P04,300.9665832519531,healthy,0.9773415923118591,0.02265840768814087,unhealthy,0.9933333333333333,0.9933333333333333,0.1,0.9,0.8962658407688141,unhealthy,0.8962658407688141,sensor
CAP_20260830_143004,2026-08-30 14:30:04,P05,300.9665832519531,healthy,0.9993687272071838,0.0006312727928161621,unhealthy,0.9933333333333333,0.9933333333333333,0.1,0.9,0.8940631272792816,unhealthy,0.8940631272792816,sensor
CAP_20260830_143004,2026-08-30 14:30:04,P06,300.9665832519531,healthy,0.9999866485595703,1.33514404296875e-05,unhealthy,0.9933333333333333,0.9933333333333333,0.1,0.9,0.894001335144043,unhealthy,0.894001335144043,sensor
CAP_20260830_143004,2026-08-30 14:30:04,P07,300.9665832519531,healthy,0.9983513355255127,0.0016486644744873047,unhealthy,0.9933333333333333,0.9933333333333333,0.1,0.9,0.8941648664474487,unhealthy,0.8941648664474487,sensor
CAP_20260830_143004,2026-08-30 14:30:04,P08,300.9665832519531,healthy,0.9607892632484436,0.039210736751556396,unhealthy,0.9933333333333333,0.9933333333333333,0.1,0.9,0.8979210736751556,unhealthy,0.8979210736751556,sensor
CAP_20260830_143004,2026-08-30 14:30:04,P09,300.9665832519531,healthy,0.9803782105445862,0.01962178945541382,unhealthy,0.9933333333333333,0.9933333333333333,0.1,0.9,0.8959621789455414,unhealthy,0.8959621789455414,sensor
CAP_20260830_143004,2026-08-30 14:30:04,P10,300.9665832519531,healthy,0.9981426000595093,0.0018573999404907227,unhealthy,0.9933333333333333,0.9933333333333333,0.1,0.9,0.894185739994049,unhealthy,0.894185739994049,sensor
CAP_20260830_143004,2026-08-30 14:30:04,P11,300.9665832519531,healthy,0.9986655712127686,0.0013344287872314453,unhealthy,0.9933333333333333,0.9933333333333333,0.1,0.9,0.8941334428787232,unhealthy,0.8941334428787232,sensor
