image_weight,sensor_weight,fusion_threshold,samples,accuracy,balanced_accuracy,macro_f1,unhealthy_precision,unhealthy_recall,unhealthy_f1,healthy_correct_tn,healthy_as_unhealthy_fp,unhealthy_as_healthy_fn,unhealthy_correct_tp
0.36,0.64,0.5,149,0.4429530201342282,0.4352826510721247,0.43053828797716076,0.3013698630136986,0.4074074074074074,0.3464566929133858,44,51,32,22
0.37,0.63,0.5,149,0.44966442953020136,0.444541910331384,0.43851102941176473,0.3108108108108108,0.42592592592592593,0.359375,44,51,31,23
0.38,0.62,0.5,149,0.44966442953020136,0.444541910331384,0.43851102941176473,0.3108108108108108,0.42592592592592593,0.359375,44,51,31,23
0.39,0.61,0.5,149,0.44966442953020136,0.444541910331384,0.43851102941176473,0.3108108108108108,0.42592592592592593,0.359375,44,51,31,23
0.4,0.6,0.5,149,0.44966442953020136,0.44853801169590646,0.44056776556776556,0.3157894736842105,0.4444444444444444,0.36923076923076925,43,52,30,24
0.41,0.59,0.5,149,0.44966442953020136,0.44853801169590646,0.44056776556776556,0.3157894736842105,0.4444444444444444,0.36923076923076925,43,52,30,24
0.42,0.58,0.5,149,0.44966442953020136,0.45253411306042884,0.44240598758671046,0.32051282051282054,0.46296296296296297,0.3787878787878788,42,53,29,25
0.43,0.57,0.5,149,0.4563758389261745,0.4617933723196881,0.4500341763499658,0.3291139240506329,0.48148148148148145,0.39097744360902253,42,53,28,26
0.44,0.56,0.5,149,0.4563758389261745,0.4617933723196881,0.4500341763499658,0.3291139240506329,0.48148148148148145,0.39097744360902253,42,53,28,26
0.45,0.55,0.5,149,0.4563758389261745,0.4617933723196881,0.4500341763499658,0.3291139240506329,0.48148148148148145,0.39097744360902253,42,53,28,26
0.46,0.54,0.5,149,0.47651006711409394,0.4775828460038986,0.46785714285714286,0.34210526315789475,0.48148148148148145,0.4,45,50,28,26
0.47,0.53,0.5,149,0.4966442953020134,0.49736842105263157,0.487408834457135,0.36,0.5,0.4186046511627907,47,48,27,27
0.48,0.52,0.5,149,0.5100671140939598,0.5078947368421053,0.49914813279918957,0.3698630136986301,0.5,0.4251968503937008,49,46,27,27
0.49,0.51,0.5,149,0.5302013422818792,0.5236842105263158,0.5165925101965146,0.38571428571428573,0.5,0.43548387096774194,52,43,27,27
0.5,0.5,0.5,149,0.5570469798657718,0.5447368421052632,0.5396067415730337,0.4090909090909091,0.5,0.45,56,39,27,27
0.51,0.49,0.5,149,0.5973154362416108,0.5803118908382066,0.5765441455096627,0.45161290322580644,0.5185185185185185,0.4827586206896552,61,34,26,28
0.52,0.48,0.5,149,0.6510067114093959,0.618421052631579,0.6193003144654088,0.5192307692307693,0.5,0.5094339622641509,70,25,27,27
0.53,0.47,0.5,149,0.6778523489932886,0.6394736842105263,0.6422569027611045,0.5625,0.5,0.5294117647058824,74,21,27,27
0.54,0.46,0.5,149,0.6778523489932886,0.6394736842105263,0.6422569027611045,0.5625,0.5,0.5294117647058824,74,21,27,27
0.55,0.45,0.5,149,0.6778523489932886,0.6394736842105263,0.6422569027611045,0.5625,0.5,0.5294117647058824,74,21,27,27
0.56,0.44,0.5,149,0.6778523489932886,0.6354775828460039,0.6387878787878788,0.5652173913043478,0.48148148148148145,0.52,75,20,28,26
0.57,0.43,0.5,149,0.6845637583892618,0.6447368421052632,0.6480373925717444,0.574468085106383,0.5,0.5346534653465347,75,20,27,27
0.58,0.42,0.5,149,0.697986577181208,0.6592592592592592,0.6630145248027342,0.5957446808510638,0.5185185185185185,0.5544554455445545,76,19,26,28
0.59,0.41,0.5,149,0.7046979865771812,0.6645224171539961,0.6688888888888889,0.6086956521739131,0.5185185185185185,0.56,77,18,26,28
0.6,0.4,0.5,149,0.7046979865771812,0.6645224171539961,0.6688888888888889,0.6086956521739131,0.5185185185185185,0.56,77,18,26,28
0.61,0.39,0.5,149,0.697986577181208,0.6552631578947368,0.6596619460941069,0.6,0.5,0.5454545454545454,77,18,27,27
0.62,0.38,0.5,149,0.6912751677852349,0.6460038986354776,0.6503061224489797,0.5909090909090909,0.48148148148148145,0.5306122448979592,77,18,28,26
0.63,0.37,0.5,149,0.697986577181208,0.6552631578947368,0.6596619460941069,0.6,0.5,0.5454545454545454,77,18,27,27
0.64,0.36,0.5,149,0.7046979865771812,0.6605263157894736,0.6655102040816326,0.6136363636363636,0.5,0.5510204081632653,78,17,27,27
0.65,0.35,0.5,149,0.7046979865771812,0.6605263157894736,0.6655102040816326,0.6136363636363636,0.5,0.5510204081632653,78,17,27,27
0.66,0.34,0.5,149,0.697986577181208,0.6512670565302144,0.6561009386059393,0.6046511627906976,0.48148148148148145,0.5360824742268041,78,17,28,26
0.67,0.33,0.5,149,0.7114093959731543,0.661793372319688,0.6677728804770547,0.6341463414634146,0.48148148148148145,0.5473684210526316,80,15,28,26
0.68,0.32,0.5,149,0.7114093959731543,0.661793372319688,0.6677728804770547,0.6341463414634146,0.48148148148148145,0.5473684210526316,80,15,28,26
0.69,0.31,0.5,149,0.7181208053691275,0.6710526315789473,0.6772896039603961,0.6428571428571429,0.5,0.5625,80,15,27,27
0.7,0.3,0.5,149,0.7181208053691275,0.6710526315789473,0.6772896039603961,0.6428571428571429,0.5,0.5625,80,15,27,27
0.71,0.29,0.5,149,0.7181208053691275,0.6710526315789473,0.6772896039603961,0.6428571428571429,0.5,0.5625,80,15,27,27
0.72,0.28,0.5,149,0.7181208053691275,0.6710526315789473,0.6772896039603961,0.6428571428571429,0.5,0.5625,80,15,27,27
0.73,0.27,0.5,149,0.7046979865771812,0.6565302144249513,0.6619224422442245,0.6190476190476191,0.48148148148148145,0.5416666666666666,79,16,28,26
0.74,0.26,0.5,149,0.7046979865771812,0.6565302144249513,0.6619224422442245,0.6190476190476191,0.48148148148148145,0.5416666666666666,79,16,28,26
0.75,0.25,0.5,149,0.7114093959731543,0.6657894736842105,0.6713853413345643,0.627906976744186,0.5,0.5567010309278351,79,16,27,27
0.76,0.24,0.5,149,0.7181208053691275,0.6710526315789473,0.6772896039603961,0.6428571428571429,0.5,0.5625,80,15,27,27
0.77,0.23,0.5,149,0.7181208053691275,0.6710526315789473,0.6772896039603961,0.6428571428571429,0.5,0.5625,80,15,27,27
0.78,0.22,0.5,149,0.7181208053691275,0.6710526315789473,0.6772896039603961,0.6428571428571429,0.5,0.5625,80,15,27,27
0.79,0.21,0.5,149,0.7248322147651006,0.6763157894736842,0.6832253046409127,0.6585365853658537,0.5,0.5684210526315789,81,14,27,27
0.8,0.2,0.5,149,0.7315436241610739,0.6855750487329435,0.6926567656765676,0.6666666666666666,0.5185185185185185,0.5833333333333334,81,14,26,28
0.81,0.19,0.5,149,0.738255033557047,0.6948343079922028,0.7019541467918141,0.6744186046511628,0.5370370370370371,0.5979381443298969,81,14,25,29
0.82,0.18,0.5,149,0.738255033557047,0.6948343079922028,0.7019541467918141,0.6744186046511628,0.5370370370370371,0.5979381443298969,81,14,25,29
0.83,0.17,0.5,149,0.738255033557047,0.6948343079922028,0.7019541467918141,0.6744186046511628,0.5370370370370371,0.5979381443298969,81,14,25,29
0.84,0.16,0.5,149,0.738255033557047,0.6948343079922028,0.7019541467918141,0.6744186046511628,0.5370370370370371,0.5979381443298969,81,14,25,29
0.85,0.15,0.5,149,0.7449664429530202,0.7000974658869397,0.7080239273927393,0.6904761904761905,0.5370370370370371,0.6041666666666666,82,13,25,29
0.86,0.14,0.5,149,0.7449664429530202,0.7000974658869397,0.7080239273927393,0.6904761904761905,0.5370370370370371,0.6041666666666666,82,13,25,29
0.87,0.13,0.5,149,0.7449664429530202,0.7000974658869397,0.7080239273927393,0.6904761904761905,0.5370370370370371,0.6041666666666666,82,13,25,29
0.88,0.12,0.5,149,0.7449664429530202,0.7000974658869397,0.7080239273927393,0.6904761904761905,0.5370370370370371,0.6041666666666666,82,13,25,29
0.89,0.11,0.5,149,0.7516778523489933,0.7053606237816765,0.7141301529686285,0.7073170731707317,0.5370370370370371,0.6105263157894737,83,12,25,29
0.9,0.1,0.5,149,0.7516778523489933,0.7053606237816765,0.7141301529686285,0.7073170731707317,0.5370370370370371,0.6105263157894737,83,12,25,29
0.91,0.09,0.5,149,0.7449664429530202,0.6961013645224172,0.7047350855235711,0.7,0.5185185185185185,0.5957446808510638,83,12,26,28
0.92,0.08,0.5,149,0.7449664429530202,0.6961013645224172,0.7047350855235711,0.7,0.5185185185185185,0.5957446808510638,83,12,26,28
0.93,0.07,0.5,149,0.7449664429530202,0.6961013645224172,0.7047350855235711,0.7,0.5185185185185185,0.5957446808510638,83,12,26,28
0.94,0.06,0.5,149,0.7449664429530202,0.6961013645224172,0.7047350855235711,0.7,0.5185185185185185,0.5957446808510638,83,12,26,28
0.95,0.05,0.5,149,0.7449664429530202,0.6961013645224172,0.7047350855235711,0.7,0.5185185185185185,0.5957446808510638,83,12,26,28
0.96,0.04,0.5,149,0.7449664429530202,0.6961013645224172,0.7047350855235711,0.7,0.5185185185185185,0.5957446808510638,83,12,26,28
0.97,0.03,0.5,149,0.7516778523489933,0.7053606237816765,0.7141301529686285,0.7073170731707317,0.5370370370370371,0.6105263157894737,83,12,25,29
0.98,0.02,0.5,149,0.7516778523489933,0.7053606237816765,0.7141301529686285,0.7073170731707317,0.5370370370370371,0.6105263157894737,83,12,25,29
0.99,0.01,0.5,149,0.7449664429530202,0.6961013645224172,0.7047350855235711,0.7,0.5185185185185185,0.5957446808510638,83,12,26,28
1.0,0.0,0.5,149,0.7449664429530202,0.6961013645224172,0.7047350855235711,0.7,0.5185185185185185,0.5957446808510638,83,12,26,28
