threshold,samples,accuracy,balanced_accuracy,macro_f1,unhealthy_precision,unhealthy_recall,unhealthy_f1,healthy_correct_tn,healthy_as_unhealthy_fp,unhealthy_as_healthy_fn,unhealthy_correct_tp
0.22,149,0.7248322147651006,0.7322612085769981,0.7161904761904762,0.5942028985507246,0.7592592592592593,0.6666666666666666,67,28,13,41
0.23,149,0.7315436241610739,0.7335282651072125,0.7209737827715356,0.6060606060606061,0.7407407407407407,0.6666666666666666,69,26,14,40
0.24,149,0.7248322147651006,0.7242690058479533,0.7132059527721704,0.6,0.7222222222222222,0.6554621848739496,69,26,15,39
0.25,149,0.7248322147651006,0.7242690058479533,0.7132059527721704,0.6,0.7222222222222222,0.6554621848739496,69,26,15,39
0.26,149,0.7181208053691275,0.7110136452241715,0.703580901856764,0.5967741935483871,0.6851851851851852,0.6379310344827587,70,25,17,37
0.27,149,0.7181208053691275,0.7070175438596491,0.7016590389016018,0.6,0.6666666666666666,0.631578947368421,71,24,18,36
0.28,149,0.7181208053691275,0.7070175438596491,0.7016590389016018,0.6,0.6666666666666666,0.631578947368421,71,24,18,36
0.29,149,0.7248322147651006,0.712280701754386,0.7077732599856494,0.6101694915254238,0.6666666666666666,0.6371681415929203,72,23,18,36
0.3,149,0.7248322147651006,0.7082846003898635,0.7056896468661175,0.6140350877192983,0.6481481481481481,0.6306306306306306,73,22,19,35
0.31,149,0.7248322147651006,0.7082846003898635,0.7056896468661175,0.6140350877192983,0.6481481481481481,0.6306306306306306,73,22,19,35
0.32,149,0.7315436241610739,0.7135477582846004,0.7117988394584139,0.625,0.6481481481481481,0.6363636363636364,74,21,19,35
0.33,149,0.7315436241610739,0.7095516569200779,0.7095516569200779,0.6296296296296297,0.6296296296296297,0.6296296296296297,75,20,20,34
0.34,149,0.7315436241610739,0.7095516569200779,0.7095516569200779,0.6296296296296297,0.6296296296296297,0.6296296296296297,75,20,20,34
0.35,149,0.738255033557047,0.7148148148148148,0.7156627685080981,0.6415094339622641,0.6296296296296297,0.6355140186915887,76,19,20,34
0.36,149,0.738255033557047,0.7148148148148148,0.7156627685080981,0.6415094339622641,0.6296296296296297,0.6355140186915887,76,19,20,34
0.37,149,0.7516778523489933,0.7253411306042885,0.7279546015297311,0.6666666666666666,0.6296296296296297,0.6476190476190476,78,17,20,34
0.38,149,0.7516778523489933,0.7253411306042885,0.7279546015297311,0.6666666666666666,0.6296296296296297,0.6476190476190476,78,17,20,34
0.39,149,0.7583892617449665,0.7306042884990254,0.7341395717684378,0.68,0.6296296296296297,0.6538461538461539,79,16,20,34
0.4,149,0.7718120805369127,0.7411306042884991,0.7465986394557823,0.7083333333333334,0.6296296296296297,0.6666666666666666,81,14,20,34
0.41,149,0.7718120805369127,0.7411306042884991,0.7465986394557823,0.7083333333333334,0.6296296296296297,0.6666666666666666,81,14,20,34
0.42,149,0.7785234899328859,0.7463937621832359,0.7528773181886717,0.723404255319149,0.6296296296296297,0.6732673267326733,82,13,20,34
0.43,149,0.7718120805369127,0.7371345029239766,0.7441414141414142,0.717391304347826,0.6111111111111112,0.66,82,13,21,33
0.44,149,0.7785234899328859,0.7423976608187135,0.7504187604690117,0.7333333333333333,0.6111111111111112,0.6666666666666666,83,12,21,33
0.45,149,0.7785234899328859,0.7423976608187135,0.7504187604690117,0.7333333333333333,0.6111111111111112,0.6666666666666666,83,12,21,33
0.46,149,0.7651006711409396,0.7238791423001949,0.7325229522490639,0.7209302325581395,0.5740740740740741,0.6391752577319587,83,12,23,31
0.47,149,0.7516778523489933,0.7053606237816765,0.7141301529686285,0.7073170731707317,0.5370370370370371,0.6105263157894737,83,12,25,29
0.48,149,0.7516778523489933,0.7053606237816765,0.7141301529686285,0.7073170731707317,0.5370370370370371,0.6105263157894737,83,12,25,29
0.49,149,0.7516778523489933,0.7053606237816765,0.7141301529686285,0.7073170731707317,0.5370370370370371,0.6105263157894737,83,12,25,29
0.5,149,0.7449664429530202,0.6961013645224172,0.7047350855235711,0.7,0.5185185185185185,0.5957446808510638,83,12,26,28
0.51,149,0.7449664429530202,0.6921052631578948,0.7012452511608274,0.7105263157894737,0.5,0.5869565217391305,84,11,27,27
0.52,149,0.7449664429530202,0.6921052631578948,0.7012452511608274,0.7105263157894737,0.5,0.5869565217391305,84,11,27,27
0.53,149,0.7449664429530202,0.6921052631578948,0.7012452511608274,0.7105263157894737,0.5,0.5869565217391305,84,11,27,27
0.54,149,0.738255033557047,0.678849902534113,0.6875974409977959,0.7142857142857143,0.46296296296296297,0.5617977528089888,85,10,29,25
0.55,149,0.7315436241610739,0.6695906432748537,0.6774891774891775,0.7058823529411765,0.4444444444444444,0.5454545454545454,85,10,30,24
0.56,149,0.738255033557047,0.6748538011695906,0.6834450073541428,0.7272727272727273,0.4444444444444444,0.5517241379310345,86,9,30,24
0.57,149,0.7248322147651006,0.6563352826510721,0.6625793979563657,0.7096774193548387,0.4074074074074074,0.5176470588235295,86,9,32,22
0.58,149,0.7248322147651006,0.6563352826510721,0.6625793979563657,0.7096774193548387,0.4074074074074074,0.5176470588235295,86,9,32,22
0.59,149,0.7315436241610739,0.661598440545809,0.6684468179795282,0.7333333333333333,0.4074074074074074,0.5238095238095238,87,8,32,22
0.6,149,0.7248322147651006,0.6523391812865497,0.6576632109834688,0.7241379310344828,0.3888888888888889,0.5060240963855421,87,8,33,21
0.61,149,0.7248322147651006,0.6523391812865497,0.6576632109834688,0.7241379310344828,0.3888888888888889,0.5060240963855421,87,8,33,21
0.62,149,0.7248322147651006,0.6523391812865497,0.6576632109834688,0.7241379310344828,0.3888888888888889,0.5060240963855421,87,8,33,21
0.63,149,0.7248322147651006,0.6523391812865497,0.6576632109834688,0.7241379310344828,0.3888888888888889,0.5060240963855421,87,8,33,21
0.64,149,0.7248322147651006,0.6523391812865497,0.6576632109834688,0.7241379310344828,0.3888888888888889,0.5060240963855421,87,8,33,21
0.65,149,0.7181208053691275,0.6430799220272905,0.646680216802168,0.7142857142857143,0.37037037037037035,0.4878048780487805,87,8,34,20
0.66,149,0.7046979865771812,0.6205653021442495,0.617948717948718,0.7083333333333334,0.3148148148148148,0.4358974358974359,88,7,37,17
0.67,149,0.7046979865771812,0.6205653021442495,0.617948717948718,0.7083333333333334,0.3148148148148148,0.4358974358974359,88,7,37,17
0.68,149,0.697986577181208,0.6113060428849902,0.6059822530410766,0.6956521739130435,0.2962962962962963,0.4155844155844156,88,7,38,16
0.69,149,0.6912751677852349,0.602046783625731,0.593764817449028,0.6818181818181818,0.2777777777777778,0.39473684210526316,88,7,39,15
0.7,149,0.6778523489932886,0.5835282651072125,0.5685328185328186,0.65,0.24074074074074073,0.35135135135135137,88,7,41,13
0.71,149,0.6778523489932886,0.57953216374269,0.56047197640118,0.6666666666666666,0.2222222222222222,0.3333333333333333,89,6,42,12
0.72,149,0.6711409395973155,0.5702729044834308,0.5470000620462865,0.6470588235294118,0.2037037037037037,0.30985915492957744,89,6,43,11
0.73,149,0.6711409395973155,0.5702729044834308,0.5470000620462865,0.6470588235294118,0.2037037037037037,0.30985915492957744,89,6,43,11
0.74,149,0.6644295302013423,0.5610136452241715,0.5332080200501252,0.625,0.18518518518518517,0.2857142857142857,89,6,44,10
0.75,149,0.6442953020134228,0.5332358674463937,0.4897589972216838,0.5384615384615384,0.12962962962962962,0.208955223880597,89,6,47,7
0.76,149,0.6375838926174496,0.5239766081871345,0.4745297805642633,0.5,0.1111111111111111,0.18181818181818182,89,6,48,6
0.77,149,0.6442953020134228,0.5292397660818713,0.47857378672829315,0.5454545454545454,0.1111111111111111,0.18461538461538463,90,5,48,6
0.78,149,0.6375838926174496,0.5199805068226121,0.46274038461538464,0.5,0.09259259259259259,0.15625,90,5,49,5
0.79,149,0.6375838926174496,0.5199805068226121,0.46274038461538464,0.5,0.09259259259259259,0.15625,90,5,49,5
0.8,149,0.6241610738255033,0.5014619883040935,0.4297430289775834,0.375,0.05555555555555555,0.0967741935483871,90,5,51,3
0.81,149,0.6308724832214765,0.5067251461988304,0.43314657259459083,0.42857142857142855,0.05555555555555555,0.09836065573770492,91,4,51,3
0.82,149,0.6241610738255033,0.49746588693957117,0.4156862745098039,0.3333333333333333,0.037037037037037035,0.06666666666666667,91,4,52,2
0.83,149,0.6241610738255033,0.49746588693957117,0.4156862745098039,0.3333333333333333,0.037037037037037035,0.06666666666666667,91,4,52,2
0.84,149,0.6308724832214765,0.502729044834308,0.41883554357846964,0.4,0.037037037037037035,0.06779661016949153,92,3,52,2
0.85,149,0.6241610738255033,0.4934697855750487,0.40057471264367817,0.25,0.018518518518518517,0.034482758620689655,92,3,53,1
0.86,149,0.6241610738255033,0.4934697855750487,0.40057471264367817,0.25,0.018518518518518517,0.034482758620689655,92,3,53,1
0.87,149,0.6241610738255033,0.4934697855750487,0.40057471264367817,0.25,0.018518518518518517,0.034482758620689655,92,3,53,1
0.88,149,0.6241610738255033,0.4934697855750487,0.40057471264367817,0.25,0.018518518518518517,0.034482758620689655,92,3,53,1
0.89,149,0.6308724832214765,0.4987329434697856,0.40343597583169544,0.3333333333333333,0.018518518518518517,0.03508771929824561,93,2,53,1
0.9,149,0.6375838926174496,0.5039961013645224,0.40628689492325853,0.5,0.018518518518518517,0.03571428571428571,94,1,53,1
0.91,149,0.6308724832214765,0.49473684210526314,0.3868312757201646,0.0,0.0,0.0,94,1,54,0
0.92,149,0.6375838926174496,0.5,0.38934426229508196,0.0,0.0,0.0,95,0,54,0
0.93,149,0.6375838926174496,0.5,0.38934426229508196,0.0,0.0,0.0,95,0,54,0
0.94,149,0.6375838926174496,0.5,0.38934426229508196,0.0,0.0,0.0,95,0,54,0
0.95,149,0.6375838926174496,0.5,0.38934426229508196,0.0,0.0,0.0,95,0,54,0
