experiment,threshold,samples,accuracy,balanced_accuracy,macro_f1,unhealthy_precision,unhealthy_recall,unhealthy_f1,roc_auc,average_precision,brier_score,healthy_correct_tn,healthy_as_unhealthy_fp,unhealthy_as_healthy_fn,unhealthy_correct_tp,image_weight,sensor_weight
E3_Classical_Late_Fusion,0.5,149,0.7315436241610739,0.689571150097466,0.6959183673469388,0.6590909090909091,0.5370370370370371,0.5918367346938775,0.723391812865497,0.6056041838137828,0.19766666107150851,80,15,25,29,0.67,0.33
E3_Classical_Late_Fusion,0.5,149,0.7315436241610739,0.689571150097466,0.6959183673469388,0.6590909090909091,0.5370370370370371,0.5918367346938775,0.7251461988304094,0.6060511275806624,0.19640566670412193,80,15,25,29,0.68,0.32
E3_Classical_Late_Fusion,0.5,149,0.738255033557047,0.6948343079922028,0.7019541467918141,0.6744186046511628,0.5370370370370371,0.5979381443298969,0.7274853801169591,0.6080020938430913,0.1951972634815071,81,14,25,29,0.69,0.31
E3_Classical_Late_Fusion,0.5,149,0.738255033557047,0.6948343079922028,0.7019541467918141,0.6744186046511628,0.5370370370370371,0.5979381443298969,0.7296296296296296,0.6116442771672316,0.19404145140366405,81,14,25,29,0.7,0.3
E3_Classical_Late_Fusion,0.5,149,0.738255033557047,0.6948343079922028,0.7019541467918141,0.6744186046511628,0.5370370370370371,0.5979381443298969,0.7306042884990253,0.6116952184193325,0.19293823047059275,81,14,25,29,0.71,0.29
E3_Classical_Late_Fusion,0.5,149,0.738255033557047,0.6948343079922028,0.7019541467918141,0.6744186046511628,0.5370370370370371,0.5979381443298969,0.7358674463937621,0.6164195983878225,0.1918876006822933,81,14,25,29,0.72,0.28
E3_Classical_Late_Fusion,0.5,149,0.7449664429530202,0.704093567251462,0.7111224489795919,0.6818181818181818,0.5555555555555556,0.6122448979591837,0.7401559454191033,0.6172451965022837,0.19088956203876553,81,14,24,30,0.73,0.27
E3_Classical_Late_Fusion,0.5,149,0.738255033557047,0.6948343079922028,0.7019541467918141,0.6744186046511628,0.5370370370370371,0.5979381443298969,0.7442495126705654,0.6202867198959146,0.18994411454000962,81,14,25,29,0.74,0.26
E3_Classical_Late_Fusion,0.5,149,0.738255033557047,0.6948343079922028,0.7019541467918141,0.6744186046511628,0.5370370370370371,0.5979381443298969,0.74775828460039,0.6204051428191105,0.18905125818602542,81,14,25,29,0.75,0.25
E3_Classical_Late_Fusion,0.5,149,0.738255033557047,0.6948343079922028,0.7019541467918141,0.6744186046511628,0.5370370370370371,0.5979381443298969,0.7499025341130604,0.6177300221564369,0.188210992976813,81,14,25,29,0.76,0.24
E3_Classical_Late_Fusion,0.5,149,0.738255033557047,0.6948343079922028,0.7019541467918141,0.6744186046511628,0.5370370370370371,0.5979381443298969,0.7516569200779727,0.6186576442794911,0.18742331891237232,81,14,25,29,0.77,0.23
E3_Classical_Late_Fusion,0.5,149,0.738255033557047,0.6948343079922028,0.7019541467918141,0.6744186046511628,0.5370370370370371,0.5979381443298969,0.7528265107212475,0.6130316502498805,0.18668823599270354,81,14,25,29,0.78,0.22
E3_Classical_Late_Fusion,0.5,149,0.738255033557047,0.6948343079922028,0.7019541467918141,0.6744186046511628,0.5370370370370371,0.5979381443298969,0.754775828460039,0.6127402262486902,0.18600574421780644,81,14,25,29,0.79,0.21
E3_Classical_Late_Fusion,0.5,149,0.738255033557047,0.6948343079922028,0.7019541467918141,0.6744186046511628,0.5370370370370371,0.5979381443298969,0.7567251461988305,0.6122830902287006,0.1853758435876811,81,14,25,29,0.8,0.2
E3_Classical_Late_Fusion,0.5,149,0.738255033557047,0.6948343079922028,0.7019541467918141,0.6744186046511628,0.5370370370370371,0.5979381443298969,0.7608187134502925,0.614874644200626,0.18479853410232758,81,14,25,29,0.81,0.19
E3_Classical_Late_Fusion,0.5,149,0.738255033557047,0.6948343079922028,0.7019541467918141,0.6744186046511628,0.5370370370370371,0.5979381443298969,0.7637426900584795,0.6165687922795274,0.1842738157617458,81,14,25,29,0.82,0.18
E3_Classical_Late_Fusion,0.5,149,0.738255033557047,0.6948343079922028,0.7019541467918141,0.6744186046511628,0.5370370370370371,0.5979381443298969,0.7668615984405458,0.6185183553109441,0.1838016885659358,81,14,25,29,0.83,0.17
E3_Classical_Late_Fusion,0.5,149,0.738255033557047,0.6948343079922028,0.7019541467918141,0.6744186046511628,0.5370370370370371,0.5979381443298969,0.7697855750487329,0.6194095541950083,0.1833821525148976,81,14,25,29,0.84,0.16
E3_Classical_Late_Fusion,0.5,149,0.7449664429530202,0.7000974658869397,0.7080239273927393,0.6904761904761905,0.5370370370370371,0.6041666666666666,0.7725146198830409,0.6158176664633298,0.1830152076086311,82,13,25,29,0.85,0.15
