capture_id,plant_id,ground_truth,E1_image_prediction,E2_sensor_environment_prediction,E4_complementary_state
CAP_20260901_100004,P05,unhealthy,unhealthy,healthy,VISIBLE PLANT STRESS - ENVIRONMENT CURRENTLY NORMAL
CAP_20260901_100004,P06,unhealthy,unhealthy,healthy,VISIBLE PLANT STRESS - ENVIRONMENT CURRENTLY NORMAL
CAP_20260901_100004,P09,unhealthy,unhealthy,healthy,VISIBLE PLANT STRESS - ENVIRONMENT CURRENTLY NORMAL
CAP_20260901_100004,P11,unhealthy,healthy,healthy,HEALTHY / STABLE
CAP_20260901_100004,P12,unhealthy,healthy,healthy,HEALTHY / STABLE
CAP_20260901_110004,P01,unhealthy,unhealthy,unhealthy,HIGH RISK - VISIBLE + ENVIRONMENTAL STRESS
CAP_20260901_110004,P05,unhealthy,unhealthy,unhealthy,HIGH RISK - VISIBLE + ENVIRONMENTAL STRESS
CAP_20260901_110004,P06,unhealthy,unhealthy,unhealthy,HIGH RISK - VISIBLE + ENVIRONMENTAL STRESS
CAP_20260901_110004,P09,unhealthy,unhealthy,unhealthy,HIGH RISK - VISIBLE + ENVIRONMENTAL STRESS
CAP_20260901_110004,P10,unhealthy,healthy,unhealthy,EARLY ENVIRONMENTAL WARNING
CAP_20260901_110004,P11,unhealthy,healthy,unhealthy,EARLY ENVIRONMENTAL WARNING
CAP_20260901_110004,P12,unhealthy,healthy,unhealthy,EARLY ENVIRONMENTAL WARNING
CAP_20260901_120003,P01,unhealthy,unhealthy,healthy,VISIBLE PLANT STRESS - ENVIRONMENT CURRENTLY NORMAL
CAP_20260901_120003,P05,unhealthy,unhealthy,healthy,VISIBLE PLANT STRESS - ENVIRONMENT CURRENTLY NORMAL
CAP_20260901_120003,P06,unhealthy,healthy,healthy,HEALTHY / STABLE
CAP_20260901_120003,P09,unhealthy,unhealthy,healthy,VISIBLE PLANT STRESS - ENVIRONMENT CURRENTLY NORMAL
CAP_20260901_120003,P10,unhealthy,unhealthy,healthy,VISIBLE PLANT STRESS - ENVIRONMENT CURRENTLY NORMAL
CAP_20260901_120003,P11,unhealthy,healthy,healthy,HEALTHY / STABLE
CAP_20260901_120003,P12,unhealthy,healthy,healthy,HEALTHY / STABLE
CAP_20260901_130632,P01,unhealthy,unhealthy,healthy,VISIBLE PLANT STRESS - ENVIRONMENT CURRENTLY NORMAL
CAP_20260901_130632,P03,unhealthy,healthy,healthy,HEALTHY / STABLE
CAP_20260901_130632,P04,unhealthy,unhealthy,healthy,VISIBLE PLANT STRESS - ENVIRONMENT CURRENTLY NORMAL
CAP_20260901_130632,P05,unhealthy,unhealthy,healthy,VISIBLE PLANT STRESS - ENVIRONMENT CURRENTLY NORMAL
CAP_20260901_130632,P06,unhealthy,healthy,healthy,HEALTHY / STABLE
CAP_20260901_130632,P07,unhealthy,healthy,healthy,HEALTHY / STABLE
CAP_20260901_130632,P09,unhealthy,unhealthy,healthy,VISIBLE PLANT STRESS - ENVIRONMENT CURRENTLY NORMAL
CAP_20260901_130632,P10,unhealthy,unhealthy,healthy,VISIBLE PLANT STRESS - ENVIRONMENT CURRENTLY NORMAL
CAP_20260901_130632,P11,unhealthy,healthy,healthy,HEALTHY / STABLE
CAP_20260901_130632,P12,unhealthy,unhealthy,healthy,VISIBLE PLANT STRESS - ENVIRONMENT CURRENTLY NORMAL
CAP_20260901_140003,P01,unhealthy,unhealthy,healthy,VISIBLE PLANT STRESS - ENVIRONMENT CURRENTLY NORMAL
CAP_20260901_140003,P03,unhealthy,healthy,healthy,HEALTHY / STABLE
CAP_20260901_140003,P04,unhealthy,unhealthy,healthy,VISIBLE PLANT STRESS - ENVIRONMENT CURRENTLY NORMAL
CAP_20260901_140003,P05,unhealthy,unhealthy,healthy,VISIBLE PLANT STRESS - ENVIRONMENT CURRENTLY NORMAL
CAP_20260901_140003,P06,unhealthy,healthy,healthy,HEALTHY / STABLE
CAP_20260901_140003,P07,unhealthy,healthy,healthy,HEALTHY / STABLE
CAP_20260901_140003,P09,unhealthy,unhealthy,healthy,VISIBLE PLANT STRESS - ENVIRONMENT CURRENTLY NORMAL
CAP_20260901_140003,P10,unhealthy,unhealthy,healthy,VISIBLE PLANT STRESS - ENVIRONMENT CURRENTLY NORMAL
CAP_20260901_140003,P11,unhealthy,healthy,healthy,HEALTHY / STABLE
CAP_20260901_140003,P12,unhealthy,unhealthy,healthy,VISIBLE PLANT STRESS - ENVIRONMENT CURRENTLY NORMAL
