comparison,iteration,metric,difference
Fusion_60_40_minus_Image_Only,27,unhealthy_recall,-0.09523809523809523
Fusion_60_40_minus_Image_Only,27,unhealthy_f1,-0.06602254428341381
Fusion_60_40_minus_Image_Only,28,accuracy,-0.06849315068493156
Fusion_60_40_minus_Image_Only,28,balanced_accuracy,-0.0669642857142857
Fusion_60_40_minus_Image_Only,28,macro_f1,-0.07293319973002399
Fusion_60_40_minus_Image_Only,28,unhealthy_recall,-0.0625
Fusion_60_40_minus_Image_Only,28,unhealthy_f1,-0.0925456083121905
Fusion_60_40_minus_Image_Only,29,accuracy,-0.055118110236220486
Fusion_60_40_minus_Image_Only,29,balanced_accuracy,-0.06276276276276271
Fusion_60_40_minus_Image_Only,29,macro_f1,-0.06300228853326506
Fusion_60_40_minus_Image_Only,29,unhealthy_recall,-0.08108108108108114
Fusion_60_40_minus_Image_Only,29,unhealthy_f1,-0.08544087491455915
Fusion_60_40_minus_Image_Only,30,accuracy,0.006578947368421018
Fusion_60_40_minus_Image_Only,30,balanced_accuracy,0.01630336876238514
Fusion_60_40_minus_Image_Only,30,macro_f1,0.0133167924063613
Fusion_60_40_minus_Image_Only,30,unhealthy_recall,0.06557377049180324
Fusion_60_40_minus_Image_Only,30,unhealthy_f1,0.027997469155330523
Fusion_60_40_minus_Image_Only,31,accuracy,-0.05228758169934644
Fusion_60_40_minus_Image_Only,31,balanced_accuracy,-0.04352226720647778
Fusion_60_40_minus_Image_Only,31,macro_f1,-0.053678895784158964
Fusion_60_40_minus_Image_Only,31,unhealthy_recall,-0.02564102564102566
Fusion_60_40_minus_Image_Only,31,unhealthy_f1,-0.06776556776556775
Fusion_60_40_minus_Image_Only,32,accuracy,-0.08800000000000008
Fusion_60_40_minus_Image_Only,32,balanced_accuracy,-0.07796660703637448
Fusion_60_40_minus_Image_Only,32,macro_f1,-0.08368583565360177
Fusion_60_40_minus_Image_Only,32,unhealthy_recall,-0.10465116279069775
Fusion_60_40_minus_Image_Only,32,unhealthy_f1,-0.09475262368815585
Fusion_60_40_minus_Image_Only,33,accuracy,0.06622516556291391
Fusion_60_40_minus_Image_Only,33,balanced_accuracy,0.06809406809406815
Fusion_60_40_minus_Image_Only,33,macro_f1,0.06981331385891176
Fusion_60_40_minus_Image_Only,33,unhealthy_recall,0.16216216216216217
