capture_id,timestamp,plant_observations,image_sensor_agreements,image_fusion_agreements,sensor_fusion_agreements,ph,tds_ppm,air_temp_c,humidity_pct,water_temp_c,camera_lux,image_sensor_disagreements
CAP_20260830_160004,2026-08-30 16:00:04,12,0,12,0,6.38,730.4,32.8,64.8,30.37,102.83499908447266,12
CAP_20260830_161503,2026-08-30 16:15:03,12,0,12,0,6.38,739.4,32.4,66.4,30.37,227.06109619140625,12
CAP_20260830_163003,2026-08-30 16:30:03,12,0,12,0,6.37,751.8,32.3,66.9,30.31,159.71966552734375,12
CAP_20260830_164504,2026-08-30 16:45:04,12,0,12,0,6.35,751.9,32.0,67.5,30.25,126.4901123046875,12
CAP_20260831_074507,2026-08-31 07:45:07,12,12,12,12,6.22,831.9,29.1,81.2,29.0,71.95476531982422,0
CAP_20260831_080004,2026-08-31 08:00:04,12,12,12,12,6.24,829.3,30.2,77.6,29.0,208.92910766601562,0
CAP_20260831_081503,2026-08-31 08:15:03,12,12,12,12,6.23,827.5,30.7,75.3,29.06,276.07720947265625,0
CAP_20260831_083004,2026-08-31 08:30:04,12,12,12,12,6.16,826.0,31.0,74.3,29.12,137.13670349121094,0
CAP_20260831_084504,2026-08-31 08:45:04,12,12,12,12,6.16,824.5,31.1,74.1,29.19,300.2805480957031,0
CAP_20260831_090003,2026-08-31 09:00:03,12,12,12,12,6.2,823.8,31.5,72.0,29.25,410.0295104980469,0
CAP_20260831_091503,2026-08-31 09:15:03,12,12,12,12,6.13,820.9,31.4,71.4,29.37,219.33392333984375,0
CAP_20260831_093003,2026-08-31 09:30:03,12,12,12,12,6.15,820.7,31.7,69.0,29.44,219.48216247558594,0
CAP_20260831_094504,2026-08-31 09:45:04,12,0,12,0,7.13,817.9,32.1,68.9,29.44,407.6650695800781,12
CAP_20260831_100003,2026-08-31 10:00:03,12,12,12,12,6.25,818.4,32.4,69.7,29.5,172.13168334960938,0
CAP_20260831_101503,2026-08-31 10:15:03,12,12,12,12,6.17,818.7,32.2,66.7,29.56,403.6885986328125,0
CAP_20260831_103004,2026-08-31 10:30:04,12,12,12,12,6.23,830.0,32.7,66.8,28.87,391.31512451171875,0
CAP_20260831_104504,2026-08-31 10:45:04,12,12,12,12,6.15,850.5,33.1,63.9,27.75,355.03271484375,0
CAP_20260831_110003,2026-08-31 11:00:03,12,12,12,12,6.13,848.9,33.1,65.4,27.94,245.68409729003906,0
